No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.40979595964      0.00009887       333.50685398       490.48674751
41603         2023.41051628096      0.00010357       334.38238009       490.43713527
41603         2023.41069636129      0.00010274       334.59873414       490.42577193
41603         2023.41141668186      0.00010509       335.47425949       490.37745083
41603         2023.41213700216      0.00010517       336.33848283       490.33552966
41603         2023.41249716162      0.00010926       336.77820589       490.31236188
41603         2023.41303740099      0.00010849       337.44393474       490.28396428
41603         2023.41339756027      0.00010789       337.87347934       490.27025667
41603         2023.41429795764      0.00011639       338.98204649       490.22221560
41603         2023.41483819553      0.00011823       339.63334487       490.19810450
41603         2023.41519835414      0.00011965       340.08602321       490.18181132
41603         2023.41609874940      0.00011857       341.22482161       490.14928771
41603         2023.41663898600      0.00012151       341.90657901       490.12439930
41603         2023.41789953715      0.00012158       343.49379508       490.07609076
41603         2023.41843977244      0.00012230       344.17426228       490.05779824
41603         2023.42060071107      0.00011224       346.89190693       489.99764297
41603         2023.42078078901      0.00011209       347.11758140       489.99073716
41603         2023.42132102247      0.00011473       347.78751745       489.97890433
41603         2023.42168117795      0.00011346       348.23667819       489.97117377
41603         2023.42222141090      0.00011225       348.90790442       489.95844547
41603         2023.42294172115      0.00011180       349.78177391       489.95148758
41603         2023.42348195329      0.00011010       350.44839731       489.94622497
41603         2023.42402218526      0.00010932       351.13746775       489.93895656
41603         2023.42438233942      0.00010883       351.58102566       489.94236646
41603         2023.42510264742      0.00010810       352.49356575       489.93592048
41603         2023.42600303227      0.00010695       353.62928220       489.93721039
41603         2023.42618310904      0.00010571       353.85545709       489.93531035
41603         2023.42726356836      0.00011362       355.26837275       489.94499050
41603         2023.42762372107      0.00011212       355.74839484       489.94880538
41603         2023.42852410255      0.00011211       356.90823777       489.96144671
41603         2023.42888425493      0.00011387       357.37912747       489.96670497
41603         2023.42942448271      0.00011568       358.09964647       489.98225223
41603         2023.42978463444      0.00012190       358.59258173       489.98300144
41603         2023.43032486186      0.00011883       359.29323592       489.99183406
41603         2023.43122524011      0.00012632         0.47287663       490.01222597
41603         2023.43176546611      0.00013703         1.16038415       490.01727126
41603         2023.43212561652      0.00013880         1.63295356       490.02665399
41603         2023.43266584208      0.00013048         2.33979476       490.04602613
41603         2023.43320606701      0.00013321         3.05184275       490.06291749
41603         2023.43392636671      0.00012390         4.01069800       490.07757212
41603         2023.43446659096      0.00012473         4.69758215       490.08722072
41603         2023.43590718627      0.00013134         6.58602361       490.15502828
41603         2023.43680755805      0.00011798         7.73256090       490.19647194
41603         2023.43698763205      0.00011590         7.97332699       490.20776640
41603         2023.43752785411      0.00011423         8.67636874       490.24293830
41603         2023.43806807605      0.00011265         9.40486829       490.27667794
41603         2023.43878837110      0.00011097        10.34807255       490.31420832
41603         2023.43950866573      0.00010995        11.29996949       490.35816708
41603         2023.43986881299      0.00011104        11.77896794       490.38088523
41603         2023.44040903318      0.00011209        12.51145160       490.41288613
41603         2023.44076917981      0.00011591        13.01369501       490.43646900
41603         2023.44148947241      0.00012368        14.01335456       490.48475161
41603         2023.44256991036      0.00012085        15.48395456       490.55865410
41603         2023.44293005586      0.00012333        15.97676931       490.58003181
41603         2023.44365034649      0.00012200        16.98965516       490.64464703
41603         2023.44419056384      0.00012607        17.75652523       490.68787125
41603         2023.44491085381      0.00011919        18.71019508       490.74324513
41603         2023.44545107068      0.00012570        19.39335062       490.78488919
41603         2023.44617135877      0.00012526        20.38223818       490.84692507
41603         2023.44635143071      0.00012833        20.63465759       490.86450612
41603         2023.44707171833      0.00011884        21.61581297       490.92907455
41603         2023.44779200526      0.00011825        22.59022524       490.99362979
41603         2023.44815214827      0.00011944        23.07211739       491.02493899
41603         2023.44869236247      0.00012517        23.80461075       491.07389173
41603         2023.44905250499      0.00012904        24.34572972       491.12125457
41603         2023.44959271860      0.00012612        25.08179445       491.17420911
41603         2023.45049307474      0.00011736        26.27495233       491.26162958
41603         2023.45085321701      0.00011483        26.75810929       491.29674039
41603         2023.45139342953      0.00011615        27.51877594       491.35463757
41603         2023.45175357088      0.00011428        28.03002078       491.39803993
41603         2023.45229378263      0.00011713        28.79479485       491.45450825
41603         2023.45319413545      0.00011459        30.04102932       491.55431627
41603         2023.45355427592      0.00011716        30.56189388       491.59545553
41603         2023.45409448666      0.00011896        31.32472225       491.65478700
41603         2023.45499483614      0.00011961        32.64010570       491.76247425
